Regional Economy,Statistic,Value,Footnote,Unit of Measurement,Year,Sustainable Development Goal,ADB Country Code
Solomon Islands,Inflation Rate,1.64,,%,2019,,SOL
Solomon Islands,Material Footprint,…,,Million Metric Tons,2017,12.2.1,SOL
Solomon Islands,Material Footprint,…,,Per Capita,2017,12.2.1,SOL
Solomon Islands,Maternal Mortality Ratio,104,,"per 100,000 live births",2017,3.1.1,SOL
Solomon Islands,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",23.8,,%,2016,3.4.1,SOL
Solomon Islands,Neonatal Mortality Rate,8.2,,"per 1,000 live births",2018,3.2.2,SOL
Solomon Islands,"Nominal Gross Domestic Product
(GDP)



",1.41,,$ billion,2019,,SOL
Solomon Islands,Number of ATMs,11.86,6,"per 100,000 adults",2017,8.10.1,SOL
Solomon Islands,Number of Commercial Bank Branches ,4.22,6,"per 100,000 adults",2017,8.10.1,SOL
Solomon Islands,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),60.06,,%,2018,4.2.2,SOL
Solomon Islands,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),57.37,,%,2018,4.2.2,SOL
Solomon Islands,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),58.67,,%,2018,4.2.2,SOL
Solomon Islands,"Per Capita Gross National Income (GNI), Atlas Method",2020,,$,2018,,SOL
Solomon Islands,Population Density,24,,persons per km2 of surface area,2019,,SOL
Solomon Islands,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,4.5,4,%,2015,2.2.2,SOL
Solomon Islands,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,8.47,4,%,,2.2.2,SOL
Solomon Islands,Prevalence of Stunting among Children under 5 Years of Age,31.69,4,%,2015,2.2.1,SOL
Solomon Islands,Prevalence of Undernourishment,8.9,,%,2016-2018,2.1.1,SOL
Solomon Islands,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,…,,%,2017,8.10.2,SOL
Solomon Islands,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,88,4,%,2015,16.9.1,SOL
Solomon Islands,Proportion of Employed Population below $1.90 PPP a Day (Female),16.16,,%,2019,1.1.1,SOL
Solomon Islands,Proportion of Employed Population below $1.90 PPP a Day (Male),19.15,,%,2019,1.1.1,SOL
Solomon Islands,Proportion of Employed Population below $1.90 PPP a Day (Total),17.7,,%,2019,1.1.1,SOL
Solomon Islands,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,25.14,2,%,2013,,SOL
Solomon Islands,Proportion of Population Covered by Mobile Network - 2G,95,,%,2018,9.c.1,SOL
Solomon Islands,Proportion of Population Covered by Mobile Network - 3G,45,,%,2018,9.c.1,SOL
Solomon Islands,Proportion of Population Covered by Mobile Network - LTE/WiMAX,20,,%,2018,9.c.1,SOL
Solomon Islands,"Proportion of Population Living below
the National Poverty Line",12.7,2,%,2013,,SOL
Solomon Islands,Proportion of Population Using Safely Managed Drinking Water Services (Rural),79.6,4,%,2015,6.1.1,SOL
Solomon Islands,Proportion of Population Using Safely Managed Drinking Water Services (Total),82.5,4,%,2015,6.1.1,SOL
Solomon Islands,Proportion of Population Using Safely Managed Drinking Water Services (Urban),94.9,4,%,2015,6.1.1,SOL
Solomon Islands,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",16.3,4,%,2015,6.2.1,SOL
Solomon Islands,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",30.7,4,%,2015,6.2.1,SOL
Solomon Islands,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",90.5,4,%,2015,6.2.1,SOL
Solomon Islands,Proportion of Population with Access to Electricity,62.9,,%,2017,7.1.1,SOL
Solomon Islands,Proportion of Seats Held by Women in National Parliaments,4.08,,%,2019,5.5.1,SOL
Solomon Islands,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),86.56,6,%,2017,4.c.1,SOL
Solomon Islands,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),24.9,,%,2018,4.c.1,SOL
Solomon Islands,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),76.07,,%,2018,4.c.1,SOL
Solomon Islands,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),62.99,4,%,2015,4.c.1,SOL
Solomon Islands,Renewable Energy Share in the Total Final Energy Consumption,48.7,,%,2017,7.2.1,SOL
Solomon Islands,Surface Area,28.9,,'000  km2,,,SOL
Solomon Islands,Total Fertility Rate,4.4,,births per woman,2018,,SOL
Solomon Islands,Total Official Flows for Infrastructure - Official Development Assistance (ODA),62.25,,"disbursements, constant 2017, $ million",2018,9.a.1,SOL
Solomon Islands,Total Official Flows for Infrastructure - Other Official Flows (OOF),…,,"disbursements, constant 2017, $ million",2018,9.a.1,SOL
Solomon Islands,Total Outstanding,94.35,,$ million,2018,,SOL
Solomon Islands,Total Outstanding,7.16,,% of GNI,2018,,SOL
Solomon Islands,Total Population,0.7,,million,2019,,SOL
Solomon Islands,Trade Balance,-2.53,,% of GDP,2019,,SOL
Solomon Islands,Tuberculosis Incidence,74,,"per 100,000 population",2018,3.3.2,SOL
Solomon Islands,Under-5 Mortality Rate,20,,"per 1,000 live births",2018,3.2.1,SOL
Solomon Islands,"Unemployment Rate, by Sex (Female)",0.6,,%,2019,8.5.2,SOL
Solomon Islands,"Unemployment Rate, by Sex (Male)",0.56,,%,2019,8.5.2,SOL
Solomon Islands,"Unemployment Rate, by Sex (Total)",0.58,,%,2019,8.5.2,SOL
Solomon Islands,Volume of Remittances in United States Dollars as a Proportion of Total GDP,1.39,,%,2018,17.3.2,SOL
Sri Lanka,Age Dependency Ratio,53.07,,% of working-age population,2018,,SRI
Sri Lanka,"Annual Change 
in Money Supply",6.96,,%,2019,,SRI
Sri Lanka,"Annual Growth Rate of GDP



",2.59,,%,2019,,SRI
Sri Lanka,Annual Growth Rate of Real GDP per Employed Person,2.46,,%,2019,8.2.1,SRI
Sri Lanka,Annual Real Growth Rates on Value Added (Agriculture),1.7,,%,2019,,SRI
Sri Lanka,Annual Real Growth Rates on Value Added (Industry),2.58,,%,2019,,SRI
Sri Lanka,Annual Real Growth Rates on Value Added (Services),2.92,,%,2019,,SRI
Sri Lanka,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,15.1,,μg/m3,2016,11.6.2,SRI
Sri Lanka,Average Annual Population Growth Rate,0.97,,%,2014-2019,,SRI
Sri Lanka,CO2 Emissions,23.1,,Million Metric Tons,2017,9.4.1,SRI
Sri Lanka,CO2 Emissions,0.09,,Per Unit of GDP (PPP),2017,9.4.1,SRI
Sri Lanka,Coverage of Protected Areas in Relation to Marine Areas,0.06,,%,2018,14.5.1,SRI
Sri Lanka,Current Account Balance,-2.1,,% of GDP,2019,,SRI
Sri Lanka,Debt Service as a Percentage of Exports of Goods and Services,21.69,,%,2018,17.4.1,SRI
Sri Lanka,Domestic Material Consumption,107.39,,Million Metric Tons,2017,12.2.2,SRI
Sri Lanka,Domestic Material Consumption,5.14,,Per Capita,2017,12.2.2,SRI
Sri Lanka,Forest Area as a Proportion of Total Land Area,33.01,,%,2015,15.1.1,SRI
Sri Lanka,Government Finance - Expenditure,18.65,,% of  GDP,2019,,SRI
Sri Lanka,Government Finance - Fiscal Balance,-6.51,,% of  GDP,2019,,SRI
Sri Lanka,Government Finance - Revenue,12.25,,% of  GDP,2019,,SRI
Sri Lanka,Gross Domestic Investment,26.1,,% of GDP,2019,,SRI
Sri Lanka,Gross International Reserves,6919.2,7,$ million,2018,,SRI
Sri Lanka,Growth Rate of Merchandise Exports,0.42,,%,2019,,SRI
Sri Lanka,Growth Rate of Merchandise Imports,-10.34,,%,2019,,SRI
Sri Lanka,Growth Rates of Household Expenditure or Income per Capita,4.72,,%,2012-2016,10.1.1,SRI
Sri Lanka,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,4.24,,%,2012-2016,10.1.1,SRI
Sri Lanka,Inflation Rate,4.3,,%,2019,,SRI
Sri Lanka,Material Footprint,85.79,,Million Metric Tons,2017,12.2.1,SRI
Sri Lanka,Material Footprint,4.11,,Per Capita,2017,12.2.1,SRI
Sri Lanka,Maternal Mortality Ratio,36,,"per 100,000 live births",2017,3.1.1,SRI
Sri Lanka,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",17.4,,%,2016,3.4.1,SRI
Sri Lanka,Neonatal Mortality Rate,4.5,,"per 1,000 live births",2018,3.2.2,SRI
Sri Lanka,"Nominal Gross Domestic Product
(GDP)



",86.03,,$ billion,2019,,SRI
Sri Lanka,Number of ATMs,17.2,4,"per 100,000 adults",2015,8.10.1,SRI
Sri Lanka,Number of Commercial Bank Branches ,18.63,4,"per 100,000 adults",2015,8.10.1,SRI
Sri Lanka,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),…,,%,2018,4.2.2,SRI
Sri Lanka,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),…,,%,2018,4.2.2,SRI
Sri Lanka,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),…,,%,2018,4.2.2,SRI
Sri Lanka,"Per Capita Gross National Income (GNI), Atlas Method",4060,,$,2018,,SRI
Sri Lanka,Population Density,332,,persons per km2 of surface area,2019,,SRI
Sri Lanka,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,2,5,%,2013,2.2.2,SRI
Sri Lanka,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,15.1,5,%,,2.2.2,SRI
Sri Lanka,Prevalence of Stunting among Children under 5 Years of Age,17.3,5,%,2016,2.2.1,SRI
Sri Lanka,Prevalence of Undernourishment,9,,%,2016-2018,2.1.1,SRI
Sri Lanka,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,73.65,,%,2017,8.10.2,SRI
Sri Lanka,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,%,2016,16.9.1,SRI
Sri Lanka,Proportion of Employed Population below $1.90 PPP a Day (Female),0.23,,%,2019,1.1.1,SRI
Sri Lanka,Proportion of Employed Population below $1.90 PPP a Day (Male),0.28,,%,2019,1.1.1,SRI
Sri Lanka,Proportion of Employed Population below $1.90 PPP a Day (Total),0.26,,%,2019,1.1.1,SRI
Sri Lanka,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0.83,5,%,2016,,SRI
Sri Lanka,Proportion of Population Covered by Mobile Network - 2G,99,,%,2018,9.c.1,SRI
Sri Lanka,Proportion of Population Covered by Mobile Network - 3G,86,,%,2018,9.c.1,SRI
Sri Lanka,Proportion of Population Covered by Mobile Network - LTE/WiMAX,80,,%,2018,9.c.1,SRI
Sri Lanka,"Proportion of Population Living below
the National Poverty Line",4.1,5,%,2016,,SRI
Sri Lanka,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,SRI
Sri Lanka,Proportion of Population Using Safely Managed Drinking Water Services (Total),…,,%,2017,6.1.1,SRI
Sri Lanka,Proportion of Population Using Safely Managed Drinking Water Services (Urban),90.85,,%,2017,6.1.1,SRI
Sri Lanka,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,SRI
Sri Lanka,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,SRI
Sri Lanka,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,SRI
Sri Lanka,Proportion of Population with Access to Electricity,97.54,,%,2017,7.1.1,SRI
Sri Lanka,Proportion of Seats Held by Women in National Parliaments,5.33,,%,2019,5.5.1,SRI
Sri Lanka,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),85.33,,%,2018,4.c.1,SRI
Sri Lanka,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),51.03,,%,2018,4.c.1,SRI
Sri Lanka,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),82.78,,%,2018,4.c.1,SRI
Sri Lanka,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),78.72,,%,2018,4.c.1,SRI
Sri Lanka,Renewable Energy Share in the Total Final Energy Consumption,48.39,,%,2017,7.2.1,SRI
Sri Lanka,Surface Area,65.61,,'000  km2,,,SRI
Sri Lanka,Total Fertility Rate,2.2,,births per woman,2018,,SRI
Sri Lanka,Total Official Flows for Infrastructure - Official Development Assistance (ODA),200.46,,"disbursements, constant 2017, $ million",2018,9.a.1,SRI
Sri Lanka,Total Official Flows for Infrastructure - Other Official Flows (OOF),310.08,,"disbursements, constant 2017, $ million",2018,9.a.1,SRI
Sri Lanka,Total Outstanding,52310.45,,$ million,2018,,SRI
Sri Lanka,Total Outstanding,59.51,,% of GNI,2018,,SRI
Sri Lanka,Total Population,21.8,,million,2019,,SRI
Sri Lanka,Trade Balance,-9.3,,% of GDP,2019,,SRI
Sri Lanka,Tuberculosis Incidence,64,,"per 100,000 population",2018,3.3.2,SRI
Sri Lanka,Under-5 Mortality Rate,7.4,,"per 1,000 live births",2018,3.2.1,SRI
Sri Lanka,"Unemployment Rate, by Sex (Female)",6.69,,%,2019,8.5.2,SRI
Sri Lanka,"Unemployment Rate, by Sex (Male)",2.88,,%,2019,8.5.2,SRI
Sri Lanka,"Unemployment Rate, by Sex (Total)",4.2,,%,2019,8.5.2,SRI
Sri Lanka,Volume of Remittances in United States Dollars as a Proportion of Total GDP,7.92,,%,2018,17.3.2,SRI
"Taipei,China",Age Dependency Ratio,37.89,,% of working-age population,2018,,TAP
"Taipei,China","Annual Change 
in Money Supply",4.53,,%,2019,,TAP
"Taipei,China","Annual Growth Rate of GDP



",2.71,,%,2019,,TAP
"Taipei,China",Annual Growth Rate of Real GDP per Employed Person,2.23,,%,2019,8.2.1,TAP
"Taipei,China",Annual Real Growth Rates on Value Added (Agriculture),-1.58,,%,2019,,TAP
"Taipei,China",Annual Real Growth Rates on Value Added (Industry),0.61,,%,2019,,TAP
"Taipei,China",Annual Real Growth Rates on Value Added (Services),2.73,,%,2019,,TAP
"Taipei,China",Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,16.2,8,μg/m3,2019,11.6.2,TAP
"Taipei,China",Average Annual Population Growth Rate,0.17,,%,2014-2019,,TAP
"Taipei,China",CO2 Emissions,268.88,,Million Metric Tons,2017,9.4.1,TAP
"Taipei,China",CO2 Emissions,0.26,,Per Unit of GDP (PPP),2017,9.4.1,TAP
"Taipei,China",Coverage of Protected Areas in Relation to Marine Areas,…,,%,2018,14.5.1,TAP
"Taipei,China",Current Account Balance,10.53,,% of GDP,2019,,TAP
"Taipei,China",Debt Service as a Percentage of Exports of Goods and Services,…,,%,2018,17.4.1,TAP
"Taipei,China",Domestic Material Consumption,…,,Million Metric Tons,2017,12.2.2,TAP
"Taipei,China",Domestic Material Consumption,…,,Per Capita,2017,12.2.2,TAP
"Taipei,China",Forest Area as a Proportion of Total Land Area,60.7,7,%,2018,15.1.1,TAP
"Taipei,China",Government Finance - Expenditure,11.17,,% of  GDP,2019,,TAP
"Taipei,China",Government Finance - Fiscal Balance,-0.58,,% of  GDP,2019,,TAP
"Taipei,China",Government Finance - Revenue,10.59,,% of  GDP,2019,,TAP
"Taipei,China",Gross Domestic Investment,23.29,,% of GDP,2019,,TAP
"Taipei,China",Gross International Reserves,478126,,$ million,2019,,TAP
"Taipei,China",Growth Rate of Merchandise Exports,10.2,,%,2019,,TAP
"Taipei,China",Growth Rate of Merchandise Imports,9.1,,%,2019,,TAP
"Taipei,China",Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,TAP
"Taipei,China",Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,TAP
"Taipei,China",Inflation Rate,0.56,,%,2019,,TAP
"Taipei,China",Material Footprint,…,,Million Metric Tons,2017,12.2.1,TAP
"Taipei,China",Material Footprint,…,,Per Capita,2017,12.2.1,TAP
"Taipei,China",Maternal Mortality Ratio,12.18,7,"per 100,000 live births",2018,3.1.1,TAP
"Taipei,China","Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",12.5,,%,2016,3.4.1,TAP
"Taipei,China",Neonatal Mortality Rate,2.62,,"per 1,000 live births",2018,3.2.2,TAP
"Taipei,China","Nominal Gross Domestic Product
(GDP)



",611.09,,$ billion,2019,,TAP
"Taipei,China",Number of ATMs,…,,"per 100,000 adults",2018,8.10.1,TAP
"Taipei,China",Number of Commercial Bank Branches ,…,,"per 100,000 adults",2018,8.10.1,TAP
"Taipei,China",Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),…,,%,2018,4.2.2,TAP
"Taipei,China",Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),…,,%,2018,4.2.2,TAP
"Taipei,China",Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),…,,%,2018,4.2.2,TAP
"Taipei,China","Per Capita Gross National Income (GNI), Atlas Method",26249.81,,$,2018,,TAP
"Taipei,China",Population Density,652,,persons per km2 of surface area,2019,,TAP
"Taipei,China",Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,%,2017,2.2.2,TAP
"Taipei,China",Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,%,2017,2.2.2,TAP
"Taipei,China",Prevalence of Stunting among Children under 5 Years of Age,…,,%,2017,2.2.1,TAP
"Taipei,China",Prevalence of Undernourishment,3.5,,%,2016-2018,2.1.1,TAP
"Taipei,China",Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,94.18,,%,2017,8.10.2,TAP
"Taipei,China",Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,%,2016,16.9.1,TAP
"Taipei,China",Proportion of Employed Population below $1.90 PPP a Day (Female),0.05,,%,2019,1.1.1,TAP
"Taipei,China",Proportion of Employed Population below $1.90 PPP a Day (Male),0.03,,%,2019,1.1.1,TAP
"Taipei,China",Proportion of Employed Population below $1.90 PPP a Day (Total),0.04,,%,2019,1.1.1,TAP
"Taipei,China",Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,–,5,%,2016,,TAP
"Taipei,China",Proportion of Population Covered by Mobile Network - 2G,…,,%,2018,9.c.1,TAP
"Taipei,China",Proportion of Population Covered by Mobile Network - 3G,…,,%,2018,9.c.1,TAP
"Taipei,China",Proportion of Population Covered by Mobile Network - LTE/WiMAX,…,,%,2018,9.c.1,TAP
"Taipei,China","Proportion of Population Living below
the National Poverty Line",1.32,,%,2018,,TAP
"Taipei,China",Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,TAP
"Taipei,China",Proportion of Population Using Safely Managed Drinking Water Services (Total),100,4,%,2015,6.1.1,TAP
"Taipei,China",Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,TAP
"Taipei,China","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,TAP
"Taipei,China","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",100,4,%,2015,6.2.1,TAP
"Taipei,China","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,TAP
"Taipei,China",Proportion of Population with Access to Electricity,…,,%,2017,7.1.1,TAP
"Taipei,China",Proportion of Seats Held by Women in National Parliaments,…,,%,2019,5.5.1,TAP
"Taipei,China",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),…,,%,2018,4.c.1,TAP
"Taipei,China",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),…,,%,2018,4.c.1,TAP
"Taipei,China",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),…,,%,2018,4.c.1,TAP
"Taipei,China",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),…,,%,2018,4.c.1,TAP
"Taipei,China",Renewable Energy Share in the Total Final Energy Consumption,2.2,5,%,2016,7.2.1,TAP
"Taipei,China",Surface Area,36.2,,'000  km2,,,TAP
"Taipei,China",Total Fertility Rate,1.06,,births per woman,2018,,TAP
"Taipei,China",Total Official Flows for Infrastructure - Official Development Assistance (ODA),…,,"disbursements, constant 2017, $ million",2018,9.a.1,TAP
"Taipei,China",Total Official Flows for Infrastructure - Other Official Flows (OOF),…,,"disbursements, constant 2017, $ million",2018,9.a.1,TAP
"Taipei,China",Total Outstanding,191161,,$ million,2018,,TAP
"Taipei,China",Total Outstanding,…,,% of GNI,2018,,TAP
"Taipei,China",Total Population,23.59,,million,2019,,TAP
"Taipei,China",Trade Balance,17.18,,% of GDP,2019,,TAP
"Taipei,China",Tuberculosis Incidence,39.43,,"per 100,000 population",2018,3.3.2,TAP
"Taipei,China",Under-5 Mortality Rate,5,5,"per 1,000 live births",2016,3.2.1,TAP
"Taipei,China","Unemployment Rate, by Sex (Female)",3.56,,%,2019,8.5.2,TAP
"Taipei,China","Unemployment Rate, by Sex (Male)",3.86,,%,2019,8.5.2,TAP
"Taipei,China","Unemployment Rate, by Sex (Total)",3.73,,%,2019,8.5.2,TAP
"Taipei,China",Volume of Remittances in United States Dollars as a Proportion of Total GDP,…,,%,2018,17.3.2,TAP
Tajikistan,Age Dependency Ratio,66.13,,% of working-age population,2018,,TAJ
Tajikistan,"Annual Change 
in Money Supply",16.9,,%,2019,,TAJ
Tajikistan,"Annual Growth Rate of GDP



",7.5,,%,2019,,TAJ
Tajikistan,Annual Growth Rate of Real GDP per Employed Person,2.72,,%,2019,8.2.1,TAJ
Tajikistan,Annual Real Growth Rates on Value Added (Agriculture),7.1,,%,2019,,TAJ
Tajikistan,Annual Real Growth Rates on Value Added (Industry),13.6,,%,2019,,TAJ
Tajikistan,Annual Real Growth Rates on Value Added (Services),2.9,,%,2019,,TAJ
Tajikistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,42.8,,μg/m3,2016,11.6.2,TAJ
Tajikistan,Average Annual Population Growth Rate,2.26,,%,2014-2019,,TAJ
Tajikistan,CO2 Emissions,5.84,,Million Metric Tons,2017,9.4.1,TAJ
Tajikistan,CO2 Emissions,0.23,,Per Unit of GDP (PPP),2017,9.4.1,TAJ
Tajikistan,Coverage of Protected Areas in Relation to Marine Areas,…,,%,2018,14.5.1,TAJ
Tajikistan,Current Account Balance,-4.5,,% of GDP,2019,,TAJ
Tajikistan,Debt Service as a Percentage of Exports of Goods and Services,8.66,,%,2018,17.4.1,TAJ
Tajikistan,Domestic Material Consumption,31.24,,Million Metric Tons,2017,12.2.2,TAJ
Tajikistan,Domestic Material Consumption,3.5,,Per Capita,2017,12.2.2,TAJ
Tajikistan,Forest Area as a Proportion of Total Land Area,2.97,,%,2015,15.1.1,TAJ
Tajikistan,Government Finance - Expenditure,30.4,,% of  GDP,2019,,TAJ
Tajikistan,Government Finance - Fiscal Balance,-3.8,,% of  GDP,2019,,TAJ
Tajikistan,Government Finance - Revenue,26.7,,% of  GDP,2019,,TAJ
Tajikistan,Gross Domestic Investment,19,7,% of GDP,2018,,TAJ
Tajikistan,Gross International Reserves,1385,,$ million,2019,,TAJ
Tajikistan,Growth Rate of Merchandise Exports,9.3,,%,2019,,TAJ
Tajikistan,Growth Rate of Merchandise Imports,6.3,,%,2019,,TAJ
Tajikistan,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,TAJ
Tajikistan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,TAJ
Tajikistan,Inflation Rate,8,,%,2019,,TAJ
Tajikistan,Material Footprint,33.03,,Million Metric Tons,2017,12.2.1,TAJ
Tajikistan,Material Footprint,3.7,,Per Capita,2017,12.2.1,TAJ
Tajikistan,Maternal Mortality Ratio,17,,"per 100,000 live births",2017,3.1.1,TAJ
Tajikistan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",25.3,,%,2016,3.4.1,TAJ
Tajikistan,Neonatal Mortality Rate,15,,"per 1,000 live births",2018,3.2.2,TAJ
Tajikistan,"Nominal Gross Domestic Product
(GDP)



",8.09,,$ billion,2019,,TAJ
Tajikistan,Number of ATMs,10.55,2,"per 100,000 adults",2013,8.10.1,TAJ
Tajikistan,Number of Commercial Bank Branches ,6.6,2,"per 100,000 adults",2013,8.10.1,TAJ
Tajikistan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),11.57,6,%,2017,4.2.2,TAJ
Tajikistan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),13.38,6,%,2017,4.2.2,TAJ
Tajikistan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),12.5,6,%,2017,4.2.2,TAJ
Tajikistan,"Per Capita Gross National Income (GNI), Atlas Method",1010,,$,2018,,TAJ
Tajikistan,Population Density,65,,persons per km2 of surface area,2019,,TAJ
Tajikistan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,3.3,,%,2017,2.2.2,TAJ
Tajikistan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,5.56,,%,2017,2.2.2,TAJ
Tajikistan,Prevalence of Stunting among Children under 5 Years of Age,17.51,,%,2017,2.2.1,TAJ
Tajikistan,Prevalence of Undernourishment,…,,%,2016-2018,2.1.1,TAJ
Tajikistan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,47.02,,%,2017,8.10.2,TAJ
Tajikistan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,95.8,6,%,2017,16.9.1,TAJ
Tajikistan,Proportion of Employed Population below $1.90 PPP a Day (Female),4.42,,%,2019,1.1.1,TAJ
Tajikistan,Proportion of Employed Population below $1.90 PPP a Day (Male),3.37,,%,2019,1.1.1,TAJ
Tajikistan,Proportion of Employed Population below $1.90 PPP a Day (Total),3.77,,%,2019,1.1.1,TAJ
Tajikistan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,4.81,4,%,2015,,TAJ
Tajikistan,Proportion of Population Covered by Mobile Network - 2G,90,6,%,2017,9.c.1,TAJ
Tajikistan,Proportion of Population Covered by Mobile Network - 3G,90,6,%,2017,9.c.1,TAJ
Tajikistan,Proportion of Population Covered by Mobile Network - LTE/WiMAX,80,6,%,2017,9.c.1,TAJ
Tajikistan,"Proportion of Population Living below
the National Poverty Line",27.4,,%,2018,,TAJ
Tajikistan,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,TAJ
Tajikistan,Proportion of Population Using Safely Managed Drinking Water Services (Total),47.87,,%,2017,6.1.1,TAJ
Tajikistan,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,TAJ
Tajikistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,TAJ
Tajikistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,TAJ
